,emotions,id,sentence
44,['annoyed'],80,"['scared', 'long', 'time.', 'took', 'adjunct', 'course', 'department', 'one', 'term', 'scared', 'run', 'him.', 'also', 'felt', 'gross', 'violated', 'event.', 'felt', 'objectified', 'sexualized,', 'even', 'though', 'partner', 'small', 'child', 'also', 'present', 'event.', 'disgusting']"
45,['ptsd'],81,"['definitely', 'think', 'twice', 'anywhere', 'near', 'colleague', 'resist', 'room', 'him.', 'made', 'second', 'guess', 'way', 'male', 'colleagues', 'speak', 'look']"
46,['huge'],82,"['inestimable.', 'even', 'words', 'describe', 'levels', 'anxiety,', 'soul-crushing', 'depression,', 'thoughts', 'suicide.', 'significantly', 'impacted', 'physical', 'health', 'well']"
47,"['doubt,', 'depression.']",83,['nan']
48,['stress'],85,"['go', 'therapy']"
49,['angry'],86,['nan']
50,"['anger', 'never', 'stress']",87,['nan']
51,['insecure'],89,['🖓']
52,['disgust'],90,"['felt', 'crazy', 'assuming', 'targeting', 'knows', 'subtle', 'way', '(perhaps', ""he's"", 'learned', 'sleeping', 'students', 'outright', 'fast', 'track', 'trouble?)', 'behavior', 'made', 'feel', 'even', 'isolated', 'lonely', 'time', 'already', 'struggling.', 'angry', 'hell', 'abuses', 'power', 'exploitation', 'knows', 'assumes', 'already', 'victimized.', 'talk', 'incidents', 'frequently', 'therapy', 'feel', 'stuck--what', 'do?', 'fix', 'situation?', 'else', 'hurting', 'now?', 'feel', 'immense', 'burden.', 'nightmares', 'try', 'remedy', 'behavior,', 'get', 'back', 'him,', 'make', 'accountable.']"
53,['safe'],94,['nan']
54,['stress'],96,"['already', 'depressed', 'time,', 'made', 'much', 'worse.', 'became', 'even', 'disillusioned', 'grad', 'school', 'diss', 'director', '(male)', 'tried', 'minimize', 'incident,', 'seemingly', 'viewing', 'incident', ""harasser's"", 'perspective', 'thus', 'panicking.', ""(it's"", 'ok', 'now.', 'discussions', 'sexual', 'harassment', 'gets', 'now.)']"
55,"['anxiety', 'depression']",97,['nan']
56,"['blame', 'therapy', 'help']",99,"['start', 'taking', 'anti-anxiety', 'meds', 'work.']"
57,"['stressful', 'stress', 'anxiety']",100,"['felt', 'gross-', ""he'd"", 'thinking', 'sec', 'class.', 'punished', 'it.', ""i've"", 'excellent', 'male', 'professors', 'phd', 'program', 'takes', 'long', 'time', 'trust.']"
58,"['hard', 'stress', 'depression.']",101,"['episodes', 'upset', 'me.', 'young', 'student,', 'barely', 'teens,', 'felt', 'confused,', 'angry,', 'disgusted', 'ashamed.']"
59,['huge'],106,"['shook', 'friend.', 'students;', 'friend', 'went', 'pursue', 'phd', 'university', '&', 'tenured', 'professor']"
60,['increased'],107,"['frightened', 'me.', 'f-1', 'visa', 'terrified', 'enough', 'foreigner', 'doctoral', 'student.', 'need', 'trouble', 'fear.']"
61,['emotional'],108,"['understand', 'happening', 'time']"
62,['stressed'],109,"['talk', 'classes', 'rest', 'semester.', ""i'm"", 'still', 'terrified', 'meeting', 'professors', 'one', 'one.', 'anxiety', 'disordered', 'eating', 'flared', 'up.']"
63,['ptsd'],110,"['wary', 'talking', 'one', 'one', 'conference', 'settings', 'find', 'nervous', 'isolated', 'male', 'faculty', 'know...', 'even', 'pose', 'risk']"
64,"['lost', 'doubted']",111,"['harassment', 'increased', 'stress.', 'made', 'irritable', 'combative', 'caused', 'hardship', 'partner', 'relationship.', 'also', 'created', 'problems', 'student', 'courses;', 'became', 'harder', 'control', 'deal', 'always', 'classes', 'chaotic', 'student.', 'experienced', 'disappointment,', 'mistrust', 'alienation', ""institution's"", 'behaviors.', 'motivation', 'productivity', 'decreased.']"
65,"['blame', 'weird', 'uncomfortable', 'weird']",113,"['event', 'actually', 'happened', 'one', 'recovered', 'quickly', '(it', 'helped', 'never', 'encountered', 'student', 'again)-', 'however,', 'item', 'told', 'mentally', 'bothering', 'years,', 'think', 'enough', 'let', 'fear', 'curb']"
66,"['depressed', 'unsure']",118,"['poor', 'choices']"
67,"['stressful', 'vulnerable', 'ruined']",119,['nan']
68,"['depression,', 'anxiety,']",120,['nan']
69,['negative'],122,['nan']
70,['sure'],123,['nan']
71,"['anxiety', 'depression']",124,"['ended', 'traumatized', 'therapy.', 'confidence', 'still', 'sucks']"
72,"['disappointment', 'embarrassment']",126,"['lot', 'extra', 'stress', 'worrying', 'getting', 'tenure,', 'least', 'retired', 'reassigned', 'much', 'better', 'mentor.', 'feeling', 'mental', 'pretzel', 'performing', 'respect', 'utterly', 'repulsed', 'knew', 'enjoying', 'situation']"
73,['angry'],129,"['significant,', 'triggering', 'demoralizing,', 'added', 'ongoing', 'anger', 'towards', 'academy,', 'protect', 'women', 'harassment', 'emotional', 'labor.', 'anger', 'snowballing', 'tt', 'job', 'seeing', 'problem', 'angle.']"
74,['mental'],131,"['made', 'feel', 'though', 'brought', 'since', 'action', 'taken']"
75,"['definitely', 'increased', 'stress.', 'hated', 'surprised', 'blame', 'happy', 'uncomfortable', 'alone', 'blamed', 'isolated', 'hurt', 'alone', 'never', 'never', 'upsetting', 'impacted', 'never', 'trust', 'good', 'definitely', 'suspicious', 'mental', 'good']",132,"['witness', 'victim,', 'know']"
76,"['isolated', 'powerless']",135,"['lots', 'stress']"
77,"['stress', 'safe']",137,['anxiety']
78,"['worried', 'alone']",138,"['added', 'depression', 'feelings', 'inadequacy']"
79,"['stress,', 'anxiety,']",139,"['tough', 'lady,', 'annoyed', 'hell', 'me.']"
80,['depressed'],141,"['substantial.', 'ptsd']"
81,"['never', 'love']",143,"['spent', 'huge', 'amount', 'time', 'year', 'thinking', 'it,', 'especially', 'getting', 'dressed', 'saw', 'professor', 'campus.']"
82,"['stress', 'anxiety,']",144,"[""i'm"", 'still', 'recovering', 'years', 'counseling.', 'lots', 'self', 'doubt,', 'despair,', 'depression.']"
83,"['hard', 'severe', 'anxiety', 'disorder,', 'therapy']",145,['nan']
84,"['never', 'depression', 'good', 'depressed']",146,"['major', 'obstacle', 'process;', 'takes', 'time', 'commitment', 'deciding', 'move', 'forward', 'work', '(what', 'clothes', 'wear,', 'acts', 'like', 'again,', 'share', 'with,', 'etc.)', 'stress', 'processing', 'takes', 'physical', 'toll', 'manifest', 'eating', 'issue,', 'insomnia,', 'unhappiness']"
85,['sick'],147,"['stressful;', 'i’m', 'still', 'angry', '8', 'years', 'later']"
86,"['anger,', 'shame,', 'upset']",149,"['anger', 'thinking', 'never', 'disciplined;', 'stress', 'trying', 'avoid', 'department.']"
87,['anxiety'],152,['nan']
88,['trust'],153,"['objectification', 'body', 'male', 'professors', 'really', 'messed', 'body-image', 'issues', 'while,', 'made', 'insecure', 'work', '(are', 'talking', 'interest', 'work', 'like', 'staring', 'chest?']"
89,"['traumatic', 'good']",154,"['disgust', 'old', 'boy', 'network', 'school']"
90,['confused'],155,['nan']
91,"['self-doubt', 'self-doubt']",156,['nan']
92,"['ashamed', 'anxious']",158,['depression/anxiety']
93,"['scared', 'uncomfortable']",161,"['feel', 'safe', 'department', 'while,', 'subsequently', 'made', 'peace', 'avoid', 'contexts', 'much', 'drinking']"
94,['angry'],162,['good.']
95,['wary'],163,"['stress', 'related', 'tanking', 'project', 'switch', 'advisors']"
96,['anxiety'],164,"['anxiety', 'depression']"
97,"['anxiety.', 'depression.']",166,['none']
98,"['anxiety', 'depression']",167,"['process', 'going', 'title', 'iv', 'traumatizing.', 'read', 'respond', 'reports', 'read', 'multiple', 'men', 'program', 'perceived', '“feminazi”', '“man', 'hater”', 'read', 'blatant', 'lies', 'made', 'perpetrator.', 'brought', 'sexuality', 'report', 'basically', 'read', 'us', 'victim', 'blame', 'us', 'official', 'document.', 'also', 'read', 'others', 'program', 'thought', 'making', 'big', 'deal', 'made', 'feel', 'crazy', 'perceiving', 'actions', 'sexual', 'harassment.', 'faculty', 'also', 'knew', 'happening', 'feel', 'protected', 'promised', 'be.', 'others', 'sought', 'therapy', 'time', 'seek', 'help', 'psychological', 'impact', 'taking', 'us.', 'still', 'fully', 'recovered', 'incident', 'took', 'place', 'back', 'spring', '2016.']"
99,['angry.'],168,"['stressful', 'event,', 'added', 'stress', 'anxiety']"
100,"['stress', 'depression']",169,"['hard', 'question.', 'would', 'say', 'added', 'considerably', 'stress', 'depression.']"
101,"['severe', 'depression', 'anxiety']",170,['nan']
102,"['stress', 'anxiety']",171,['nan']
103,"['lost', 'great', 'cried', 'affected']",172,"['distrust', 'toward', 'male', 'colleagues', 'partners']"
104,['fear'],173,['nan']
105,"['despite', 'lost']",174,['huge']
106,"['stress', 'anxiety']",175,"['minimal.', 'increased', 'wave', ""2017's"", 'constant', 'deluge', 'male', 'harassers', 'losing', 'jobs']"
107,['anxiety'],176,"['emotional', 'psychological', 'trauma', 'ongoing.', 'asking', 'myself,', 'deserve', 'this?', 'me?']"
108,['safe'],177,['stressed']
109,"['anxiety,', 'shame']",180,"['horrific!', 'ptsd', 'addiction']"
110,"['panic', 'emotional']",183,"['severe.', 'lost', 'year', 'work', 'doubted', 'ever', 'since']"
111,"['paranoid', 'mental', 'extremely', 'alone']",184,['nan']
112,"['anxious', 'extremely', 'depressed', 'extremely', 'sick', 'anxiety']",186,"['first', 'response', 'blame', 'myself:', 'weird', 'wearing', 'keys', 'like', 'that!', 'unprofessional.', '(not:', 'touching', 'younger', 'female', ""colleague's"", 'hips', 'unprofessional).', 'second', 'response', 'was:', 'big', 'deal.', 'seen', 'non-sexual', 'things', 'make', 'others', 'feel', 'uncomfortable', 'off-balance.', 'reminded', 'male', 'high', 'school', 'teacher', 'something', 'similar', 'decades', 'ago.', 'second', 'guessed', 'lot', 'clothing', 'choices', 'thereafter', 'felt', 'weird', 'like', '""big', 'enough', 'deal""', 'talk', 'about.']"
113,"['doubt', 'inappropriate']",187,['nan']
114,['trust'],188,['nan']
115,"['uncomfortable', 'mental']",189,"['mainly', 'scared.']"
116,"['negative', 'unsure', 'certain']",191,['nan']
117,"['unsure', 'angry']",193,"['got', 'pretty', 'depressed', 'really', 'second', 'guessed', 'myself.', 'felt', 'like', 'reason', 'praised', 'work', 'wanted', 'get', 'pants.', 'unsure', 'while,', 'even', 'though', 'look', 'back', 'work', 'produced', 'program,', 'good.']"
118,"['definitely', 'unsafe', 'betrayed']",194,"['stressful', 'consider', 'whether', 'take', 'job', 'put', 'vulnerable', 'position', 'powerful', 'person.', 'could', 'ruined', 'career.']"
119,['unsure'],197,"['depression,', 'anxiety,', 'want', 'career', 'loved']"
120,['frightened'],198,['nan']
121,['depression'],200,"['pretty', 'negative', '-', 'also', 'see', 'next', 'comment']"
122,['lost'],201,"['person', 'made', 'uncomfortable.', 'someone', 'make', 'sure', 'avoid', 'even', 'though', 'came', 'events', 'organized', 'always', 'attempted', 'talk', 'me.', 'mentally', 'exhaustive', 'embarrassing.']"
123,"['upsetting', 'angry', 'love']",203,"['anxiety', 'depression', 'resulting', 'investigation', 'long', 'drawn', 'out,', 'university', 'keeping', 'informed', 'progress', 'investigation,', 'finally,', 'that,', 'able', 'keep', 'job']"
124,"['angry', 'inappropriate']",204,['nan']
125,"['inappropriate', 'mistrust']",205,"['general', 'disappointment', 'embarrassment']"
126,"['anxiety', 'ptsd', 'anxiety', 'help', 'therapy', 'distress']",206,['nan']
127,['uncomfortable'],210,['nan']
128,['anxiety'],212,"['mentioned', 'above,', 'angry', 'paying', 'closer', 'attention', 'younger', 'women', 'faculty', 'experiencing.', 'think', 'department', 'chair', 'intentionally', 'harassing,', 'thoughtless', 'anything.', 'career', 'marked', 'several', 'incidents', 'showed', 'poor', 'judgement', 'made', 'unprofessional', 'comments.', 'proactive,', 'knowing', 'this.']"
129,"['guilt', 'shame']",214,['nan']
130,['impacted'],215,"['know', 'mental', 'health', 'issues', 'comes', 'one.', ""i've"", 'many.']"
131,"['depression,', 'anxiety']",216,"['definitely', 'increased', 'stress.', 'angry,', 'hated', 'graduate', 'candidate.', 'surprised', 'find', 'closest', 'personal', 'life', '(my', 'family', 'significant', 'other)', 'quick', 'blame', 'me.', '""what', 'bar', 'guy?""', 'well,', 'obviously', 'graduate', 'student', 'happy', 'hour,', 'unfortunately', 'circumstances', 'evening', 'left', 'opening', 'one', 'student', '(who', 'later', 'said', 'made', 'uncomfortable', 'well)', 'suddenly', 'rushed', 'event,', 'remaining', 'graduate', 'student', 'went', 'check', 'her,', 'left', 'window', 'time', 'colleague', 'left', 'alone', 'table.', 'think', 'people', 'support', 'network', 'told,', 'two', 'immediately', 'said', 'happened', 'wrong,', 'male', 'graduate', 'student', 'taken', 'advantage', 'situation.', 'everyone', 'else', 'either', 'blamed', 'me,', 'said', '""well,', ""he's"", 'lot', 'pressure,', 'probably', 'isolated', 'incident,', 'forgive', 'him.""', 'hurt', 'feel', 'lack', 'support,', 'probably', 'biggest', 'thing', ""student's"", 'actions', 'revealed', 'limitations', 'relationships,', 'hardest,', 'example,', 'hear', 'mom', 'say', '""what', 'alone', 'bar', 'graduate', 'student?""', 'think', 'realized', 'later', 'victim', 'blaming', 'but,', ""i'll"", 'never', 'forget', 'never', 'really', 'apologized', 'victim', 'blaming.', 'least', 'boyfriend', 'time', 'apologized', 'initial', 'victim', 'blaming', 'response,', 'want', 'parents', 'understand.', 'ultimately,', 'think', 'recovered', 'quickly', '1.', 'incident', 'stopped', 'verbal', 'harassment', '2.', 'underrepresented', 'minority', 'get', 'used', 'blocking', 'demeaning', 'upsetting', 'things', 'people', 'say', 'use', 'discrimination', 'fuel', 'drive', 'rather', 'letting', 'become', 'distraction.', 'made', 'mind', 'incident', 'that,', 'since', 'would', 'likely', 'impacted', 'all,', 'going', 'let', 'impact', 'career', 'trajectory,', 'wanted', 'take', 'time', 'would', 'spend', 'seeking', 'institutional', 'support,', 'instead', 'funnel', 'research.', 'privileged', 'field', 'need', 'interact', 'guy', 'regularly', 'humanities', 'collaborative', 'fields.', 'nevertheless,', ""i'll"", 'probably', 'never', 'enter', 'another', 'department', 'level', 'trust', 'belief', 'colleagues', 'came', 'institution', 'with,', 'probably', 'good', 'thing', 'news', 'seems', 'proving', 'reality', 'live', 'in,', 'sexual', 'harassment', 'large', 'part', 'it.', 'definitely', 'saddens', 'feel', 'burden', 'always', 'suspicious', 'self-protecting,', 'feel', 'like', 'guard', 'mental', 'health', 'large', 'institutions', 'like', 'universities', 'looking', 'liability', 'management', 'good', 'population']"
132,['quit'],217,['nan']
133,"['angry', 'upset', 'safe', 'safe']",218,['nan']
134,"['angry', 'frustrated', 'vulnerable']",219,"['situation', 'left', 'angry,', 'isolated', 'powerless']"
135,"['wary', 'trusting', 'alone']",220,"['minimal', 'still', 'bothers']"
136,['alone'],224,"['stress', 'related', 'passing', 'class', '(a', 'b-', '""failing"");', 'made', 'realize', 'department', 'going', 'safe', 'place', 'rest', 'time', 'student']"
137,"['terrified', 'doubted']",225,"['constantly', 'worried', 'alone', 'him.']"
138,['uncomfortable'],227,"['stress,', 'anxiety,', 'doubt/gaslighting,', 'avoidance,', 'seclusion']"
139,['upsetting'],228,"['one', 'might', 'imagine']"
140,"['bad.', 'struggle', 'severe', 'anxiety', 'depression', 'safe', 'unwanted']",231,"['became', 'depressed', 'suicidal.']"
141,['bad'],233,['nan']
142,['bad.'],235,"['think', ""i'll"", 'never', 'taken', 'seriously', 'deserve', 'find', 'love']"
143,"['anxiety,', 'frustration,']",236,"['stress', 'anxiety,', 'particularly', 'events', 'knew', 'perpetrator', 'would', 'present.']"
144,"['afraid', 'suffered', 'serious', 'anxiety']",237,"['hard', 'tell.', 'developed', 'severe', 'anxiety', 'disorder,', 'therapy', '10', 'years.', 'non-institutional', 'traumas', 'concurrent']"
145,"['uncomfortable', 'open']",241,"[""i'd"", 'never', 'dealt', 'depression', 'before,', 'good', 'year', 'depressed', 'little', 'shell-shocked']"
146,['bad'],244,"['negative.', 'felt', 'dirty', 'objectified.', 'every', 'time', 'see', 'tv', 'acting', 'high', 'lightly,', 'feel', 'sick']"
147,['stress'],250,['nan']
148,"['severe', 'anxiety.', 'severe']",252,"['anger,', 'shame,', 'highly', 'uncomfortable.', 'sought', 'treatment,', 'upset', 'times', 'treatment.']"
149,['disorder'],253,['nan']
150,['fearful'],254,['minor']
151,"['severe', 'depression,']",259,"['caused', 'anxiety']"
152,"['never', 'emotional']",260,"['mentor,', 'well', 'graduate', 'program', 'director.', 'make', 'easier', 'trust', 'men.']"
153,"['dreaded', 'alone', 'stress']",261,"['really', 'traumatic.', 'many', 'ways,', 'trying', 'get', 'administration', 'faculty', 'behave', 'appropriately', 'traumatic', 'actual', 'harassment', 'itself.', 'sometimes', 'wonder', 'said', 'anything,', 'think', 'fact', 'clearly', 'moving', 'whole', 'program', 'finding', 'new', 'targets,', 'really', 'good', 'conscience', 'said', 'anything.', 'spent', 'lot', 'time', 'crying', 'campus', ""counsellor's"", 'office', 'though']"
154,['never'],262,"['minimal', 'overall', 'confused', 'respond']"
155,"['huge', 'depressive', 'safe']",263,"['frequent', 'self-doubt', 'seriously', 'taken', 'faculty,', 'peers/faculty', 'perceive', 'intellectual', 'capability.', 'self-doubt', 'exhausting']"
156,['uncomfortable'],264,['nan']
157,"['severe', 'negative', 'mental']",265,"['felt', 'ashamed', 'vulnerable,', 'anxious', 'conference', 'settings']"
158,"['extremely', 'stressful.', 'lost']",269,"['alcoholism', 'escalated.']"
159,"['increased', 'fear', 'anxiety']",270,['nan']
160,['open'],271,"['got', 'scared', 'uncomfortable']"
161,['embarrassed'],273,"['feel', 'somewhat', 'angry', 'myself,', 'honestly,', 'seems', 'really', 'obviously', 'harassment', 'sit', 'typing', 'out.', 'dismissed', 'socially', 'awkward,', 'think', 'took', 'longer', 'recognize', 'coming', 'female', 'colleague']"
162,['angry'],274,"['became', 'wary', 'seeking', 'new', 'male', 'mentors.']"
163,['mental'],277,['anxiety']
164,['doubt'],278,"['none,', 'thankfully']"
165,['angry'],279,"['anxiety.', 'depression.', 'paranoia']"
166,['anguish'],280,"['anxiety', 'depression']"
167,"['anxiety,']",281,"['challenging', 'time,', 'still', 'makes', 'angry.', 'i’m', 'ok.']"
168,['kind'],282,"['experienced', 'stress', 'depression']"
169,"['mental', 'struggle', 'trust', 'alone', 'alone', 'depression', 'anxiety.', 'great', 'trust']",285,"['severe', 'depression', 'anxiety', '(ongoing']"
170,"['ptsd,', 'depression,', 'anxiety']",288,"['caused', 'lot', 'stress', 'anxiety']"
171,"['disorder', 'severe', 'anxiety.', 'anxiety']",290,"['avoided', 'entire', 'area', 'trench', 'order', 'avoid', 'talking', 'man,', 'meant', 'lost', 'great', 'deal', 'information', 'doing.', 'attend', 'social', 'events', 'without', '(male)', 'friend', 'run', 'interference.', 'cried', 'site', 'once.', 'continue', 'think', 'six-week', 'period', 'harassment,', 'two', 'years', 'later.', 'affected', 'relationship', 'site', 'directors', 'advisors.']"
172,"['worry', 'worst', 'good', 'never', 'doubt', 'anxiety']",294,"['still', 'feel', 'nauseous', 'remembering', 'this.', 'partner', 'senior', 'field.', 'fear', 'naming', 'institution', 'due', 'mutual', 'professional', 'acquaintances', 'might', 'gaslight', 'hold', 'me.']"
173,['distressed'],295,"['stressful,', 'infuriating,', 'required', 'pick', 'pieces', 'teach', 'women', '(who', 'still', 'contacting', 'despite', 'told', 'attacked', 'devastated).', 'also', 'lost', 'chance', 'one', 'best', 'young', 'women', 'faculty', 'come', 'back', 'teach', 'refuses', 'back', 'attempts', 'manipulate', 'research', 'sexual', 'advances']"
174,"['extreme', 'stress']",296,"['stress', 'anxiety']"
175,['worse'],300,['anxiety']
176,"['alone', 'depression', 'imposter', 'syndrome']",301,"['longer', 'feel', 'safe', 'welcome', 'among', 'grad', 'cohort.', 'don’t', 'know', 'real', 'imagined.']"
177,"['anxiety,', 'fear,', 'depression']",303,"['think', '#metoo']"
178,"['anxiety', 'affected']",304,"['think', '#metoo']"
179,"['mental', 'extremely', 'wary']",305,"['lasting', 'trauma,', 'anxiety,', 'cycles', 'shame', 'anger...']"
180,['help'],306,"['initially,', 'creeped', 'out.', 'went', 'immediately', ""boyfriend's"", '(now', 'husband)', 'house', 'happened,', 'needed', 'talk', 'someone', 'close', 'me.', 'end,', 'made', 'keep', ""arm's"", 'length.', 'luckily', 'headed', 'fellowship', 'took', 'another', 'country,', 'contact', 'year', 'half', 'that,', 'came', 'back.', 'embroiled', 'aftermath', 'sexual', 'harassment', 'suit', 'mentioned', 'above.', 'little', 'contact', 'responding', 'comments', 'dissertation.']"
181,"['worse', 'abuse', 'mental']",308,['devastating']
182,"['worried', 'fear', 'fear']",309,"['panic', 'attacks.', 'cannot', 'attend', 'faculty', 'events.', ""i've"", 'told', 'emotional']"
183,['depression.'],312,"['coworker,', 'impact', 'tangibly', 'obvious', 'daily', 'basis.', 'self', 'worth', 'low,', 'paranoid', 'cynical,', 'feel', 'loyal', 'institution,', 'poor', 'mental', 'health,', 'extremely', 'loyal', 'students', 'felt', 'thing', 'mattered', 'alone']"
184,"['sure', 'mental']",314,"['presidential', 'election', 'felt', 'particularly', 'traumatizing', 'given', 'happened.']"
185,['depressive'],315,"['anxious', 'extremely', 'intimidated.', 'became', 'depressed', 'extremely', 'upset.', 'thought', 'going', 'class', 'made', 'sick', 'class', 'gave', 'anxiety']"
186,"['hard', 'angry.']",316,"['doubt', 'anyone', 'believe', 'report', 'something', 'inappropriate', 'impeding', 'work.']"
187,"['upset', 'calm', 'nightmares', 'question', 'upset']",318,"['depression/anxiety', 'highest', 'point', 'life,', 'trust', 'issues', 'took', 'years', 'repair']"
188,"['depression,', 'anxiety']",320,"['uncomfortable', 'situation', 'leading', 'distrust,', 'endangering', 'mental', 'health', 'ways', 'prevented', 'getting', 'day-to-day', 'life']"
189,['stressful'],321,['rough']
190,"['angry', 'affected']",323,"['negative', 'overall,', 'bit', 'unsure', 'magnitude;', 'strained/awkward', 'contacts,', 'avoided', 'spending', 'time', 'certain', 'spaces', 'events', 'near', 'harasser']"
191,['stressful'],324,['nan']
