id	targetkeyword	targetrank	targetrankred	targetkeyworddetail	targetrankdetail	perpetkeyword	perpetrank	perpetrankred	perpetkeyworddetail	perpetrankdetail	gendersclean	itypeclean	itypewide	institutionlocation	institutionclean	cleandiscipline	reported	reportedwide	someconsequence	institutionperpetrator	institutiontarget	city	state	country	zipcode_us	zipcode	zipcode_other
46	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			History	No	No	None								
47	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University			English 	No	No	None								
48	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	Other University	Research University			English 	No	No	None								
49	Undergraduate Student	3	2	Undergraduate Student	2	Staff	6	14.5	Staff	14.5	Male	Other University	Research University			English 	No	Private	None								
50	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Undergraduate Student	3	2	Undergraduate Student	2	Male	Other University	Research University			English 	No	No	None								
51	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	Small Liberal Arts College	Other College			[Refuse to Answer]	No	Private	None								
52	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Faculty	7	16	Faculty	16	Multiple	Regional Teaching College	Other College			Humanities 	Yes	Yes	None								
53	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Faculty	7	16	Faculty	16	Female	Regional Teaching College	Other College			Humanities 	Yes	Yes	None								
54	Student	2	1.5	Student	1.5	Tenured Professor	9	24	Tenured Professor	24	Male	Regional Teaching College	Other College			Humanities 	Yes	Yes	None								
55	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Social Sciences	Unknown	Unknown	Unknown								
56	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Tucson, Arizona	University of Arizona	Creative Writing, English 	No	No	None			Tucson	Arizona	US	85719	85719	
57	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Other University	Research University				Unknown	Unknown	Unknown								
58	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work			English 	Unknown	Unknown	None	University of Mississippi							
59	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	R1	Research University	Chicago, Illinois	University of Chicago	Anthropology	Unknown	Unknown	None			Chicago	Illinois	US	60637	60637	
60	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Small Liberal Arts College	Other College			Philosophy	Unknown	Unknown	None								
61	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University				Unknown	Unknown	None								
62	Undergraduate Student	3	2	Undergraduate Student	2	Administration	10	26.5	Administration	26.5	Male	Other University	Research University	(Canada)		[Refuse to Answer]	Unknown	Unknown	None					Canada			
63	Graduate Student	4	6	Graduate Student	6	Unknown	0	0	Unknown	0	Male	R1	Research University	(Massachusetts)		History	No	Private	None				Massachusetts	US			
64	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Staff	14.5	Male	R1	Research University	(Massachusetts)		History	No	No	None				Massachusetts	US			
65	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Public Health	Unknown	Unknown	None								
66	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Regional Teaching College	Other College				No	No	None								
67	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work			History	No	No	None								
68	Faculty	7	16	Lecturer	16.5	Student	2	1.5	Student	1.5	Male	Regional Teaching College	Other College			Social Sciences	Unknown	Unknown	None								
69	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University			History	Yes	Yes	None								
70	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Pittsburgh, Pennsylvania	Carnegie Mellon University	Engineering	Unknown	Unknown	Unknown			Pittsburgh	Pennsylvania	US	15213	15213	
71	Graduate Student	4	6	Master Student	6.5	Undergraduate Student	3	2	Undergraduate Student	2	Male	R1	Research University			History	Unknown	Unknown	None								
72	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			History	Unknown	Unknown	None								
73	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			History	Unknown	Unknown	None								
74	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	R1	Research University			History	Unknown	Unknown	None								
75	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College			[Refuse to Answer]	No	No	None								
76	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Conference	Conference & Field Work			English 	No	No	None								
77	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Associate Professor	24.5	Male	R1	Research University	Denton, Texas	University of North Texas	English 	Yes	Yes	None			Denton	Texas	US	76201	76201	
78	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Other University	Research University			Biblical Studies 	Unknown	Unknown	None								
79	Tenured Professor	9	24	Tenured Professor	24	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Norman, Oklahoma	University of Oklahoma	Public Health	Unknown	Unknown	Unknown			Norman	Oklahoma	US	73019	73019	
80	Staff	6	14.5	Staff	14.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			History	Yes	Yes	None								
81	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Biblical Studies 	Yes	Yes	None								
82	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Ivy League	Research University	Hanover, New Hampshire	Dartmouth College	American Studies 	No	No	None			Hanover	New Hampshire	US	03755	03755	
83	Tenured Professor	9	24	Associate Professor	24.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Social Sciences	Unknown	Unknown	Yes								
84	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Music	Yes	Yes	None								
85	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Chicago, Illinois	University of Chicago	Anthropology 	Unknown	Unknown	None			Chicago	Illinois	US	60637	60637	
86	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College	Sherman, Texas	Austin College	Art	Unknown	Unknown	None			Sherman	Texas	US	75090	75090	
87	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	University of California	Research University	(California)	University of California	Social Sciences	Unknown	Unknown	None				California	US			
88	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Community College	Other College	(US)		Social Sciences	Unknown	Unknown	None					US			
89	Faculty	7	16	Faculty	16	Administration	10	26.5	Administration	26.5	Female	Other University	Research University			Art History 	Yes	Yes	Unknown								
90	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	U15	Research University	Toronto, Ontario	University of Toronto	Sociology	Unknown	Unknown	None			Toronto	Ontario	Canada		M5S	M5S
91	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Male	University of California	Research University	(California)	University of California	Humanities 	Unknown	Private	Unknown				California	US			
92	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University			History	Yes	Yes	Y								
93	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work	San Marcos, Texas	Texas State University	Geography	Unknown	Unknown	None			San Marcos	Texas	US	78666	78666	
94	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work			Humanities 	Unknown	Unknown	Unknown								
95	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Tenured Professor	9	24	Tenured Professor	24	Male	Regional Teaching College	Other College	St. Cloud, Minnesota	St. Cloud State University	Communication 	Yes	Yes	Yes			St. Cloud	Minnesota	US	56301	56301	
96	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Pittsburgh, Pennsylvania	University of Pittsburgh	Communication 	Unknown	Unknown	None			Pittsburgh	Pennsylvania	US	15261	15261	
97	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			French	Yes	Yes	None								
98	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	Norman, Oklahoma	University of Oklahoma	City Planning	Yes	Yes	None			Norman	Oklahoma	US	73019	73019	
99	Graduate Student	4	6	Master Student	6.5	Administration	10	26.5	Management	26	Male	Big Ten	Research University	Columbus, Ohio	Ohio State University	English 	No	No	None			Columbus	Ohio	US	43202	43202	
100	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Art	Unknown	Private	None								
101	Undergraduate Student	3	2	Undergraduate Student	2	Administration	10	26.5	Management	26	Male	Field Work	Conference & Field Work			Paleontology	No	No	None								
102	Graduate Student	4	6	Master Student	6.5	Graduate Student	4	6	Master Student	6.5	Male	Other University	Research University			Psychology 	Yes	Yes	None								
103	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Lubbock, Texas	Texas Tech University	Science	Unknown	Unknown	None			Lubbock	Texas	US	79409	79409	
104	Staff	6	14.5	Staff	14.5	Faculty	7	16	Faculty	16	Male	R1	Research University	Los Angeles, California	University of Southern California	Urban Planning 	Yes	Yes	None			Los Angeles	California	US	90089	90089	
105	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College				Unknown	Unknown	Unknown								
106	Undergraduate Student	3	2	Undergraduate - Year 3	4.5	Tenured Professor	9	24	Full Professor	25.5	Male	R2	Research University	Greenville, North Carolina	East Carolina University		No	No	None			Greenville	North Carolina	US	27858	27858	
107	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	Conference	Conference & Field Work			History	Unknown	Unknown	Unknown								
108	Faculty	7	16	Lecturer	16.5	Faculty	7	16	Lecturer	16.5	Male	R1	Research University	(US)		History	Unknown	Unknown	Unknown					US			
109	Staff	6	14.5	Staff	14.5	Unknown	0	0	Unknown	0	Male	Other University	Research University			French, English	Unknown	Unknown	None								
110	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work	Staunton, Virginia	Mary Baldwin University	English 	No	No	None			Staunton	Virginia	US	24401	24401	
111	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Faculty	7	16	Faculty	16	Male	Conference	Conference & Field Work			Political Science	No	No	None								
112	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	Other University	Research University			Sociology	Unknown	Unknown	Unknown								
113	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Undergraduate Student	3	2	Undergraduate Student	2	Male	Other University	Research University			English 	Yes	Yes	Yes								
114	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			History	Unknown	Unknown	None								
115	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			English 	Yes	Yes	Unknown								
116	Faculty	7	16	Post-Doctoral	13.5	Faculty	7	16	Faculty	16	Male	Research Institute	Other			History	No	No	None								
117	Undergraduate Student	3	2	Undergraduate Student	2	Staff	6	14.5	Staff	14.5	Male	R2	Research University	San Diego, California	San Diego State University	English 	No	No	None			San Diego	California	US	92115	92115	
118	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University	San Diego, California	San Diego State University	English 	No	No	None			San Diego	California	US	92115	92115	
119	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University	San Diego, California	San Diego State University	English 	No	No	None			San Diego	California	US	92115	92115	
120	Student	2	1.5	Student	1.5	Faculty	7	16	Faculty	16	Male	R1	Research University			Biology	Unknown	Unknown	Unknown								
121	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Tenured Professor	24	Male	R2	Research University			Sociology	Unknown	Unknown	None								
122	Faculty	7	16	Post-Doctoral	13.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			Biology	No	Private	None								
123	Graduate Student	4	6	Graduate Student	6	Student	2	1.5	Student	1.5	Male	Other University	Research University			Anthropology 	No	Private	None								
124	Graduate Student	4	6	Graduate Student	6	Other	1	0.5	Other	0.5	Male	Field Work	Conference & Field Work			Anthropology 	No	Private	None								
125	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Staff	14.5	Male	Other University	Research University			Anthropology 	Unknown	Unknown	None								
126	Staff	6	14.5	Staff	14.5	Administration	10	26.5	Administration	26.5	Male	Research Institute	Other			Physics	Unknown	Unknown	Unknown								
127	Faculty	7	16	Researcher	14	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			Bioinformatics	Unknown	Unknown	None								
128	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College			Foreign Languages	No	No	None								
129	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Anthropology	Yes	Yes	Yes								
130	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University				No	No	None								
131	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	U15	Research University	London, Ontario	University of Western Ontario	Comparative Literature	No	No	None			London	Ontario	Canada		N6G	N6G
132	Unknown	0	0	Unknown	0	Administration	10	26.5	Administration	26.5	Male	R2	Research University				Unknown	Unknown	None								
133	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Full Professor	25.5	Male	Conference	Conference & Field Work				Unknown	Unknown	Unknown								
134	Tenured Professor	9	24	Tenured Professor	24	Administration	10	26.5	Administration	26.5	Male	Regional Teaching College	Other College			Math	Yes	Yes	None								
135	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Faculty	7	16	Faculty	16	Male	Small Liberal Arts College	Other College			Literature	Unknown	Unknown	Unknown								
136	Undergraduate Student	3	2	Undergraduate Student	2	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Male	R1	Research University			Music	Yes	Yes	None								
137	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Stony Brook, New York	Stony Brook University	Comparative Literature	No	No	None			Stony Brook	New York	US	11794	11794	
138	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	U15	Research University	London, Ontario	University of Western Ontario	Music	Unknown	Unknown	Unknown			London	Ontario	Canada		N6G	N6G
139	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Post-Doctoral	13.5	Male	Other University	Research University			Education	Unknown	Unknown	Unknown								
140	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Other University	Research University	Aberdeen, Scotland	University of Aberdeen	English 	Unknown	Unknown	Unknown			Aberdeen	Scotland	UK		AB24	AB24
141	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Ivy League	Research University	New Haven, Connecticut	Yale University	Art	No	No	None			New Haven	Connecticut	US	06511	06511	
142	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Sociology	Unknown	Unknown	None								
143	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R2	Research University				Unknown	Unknown	None								
144	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Female	Small Liberal Arts College	Other College			Education	Unknown	Unknown	Unknown								
145	Undergraduate Student	3	2	Undergraduate - Year 3	4.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			History	Unknown	Unknown	None								
146	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Biology	Yes	Yes	Yes								
147	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University				Unknown	Unknown	Unknown								
148	Student	2	1.5	Student	1.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Other University	Research University			Literature	Unknown	Unknown	Unknown								
149	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	U15	Research University	Toronto, Ontario	University of Toronto	Education	No	No	None	University of Oslo	University of Toronto	Toronto	Ontario	Canada		M5S	M5S
150	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Unknown	Research University			English 	No	No	None								
151	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Unknown	Research University			English 	No	No	None								
152	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Unknown	Research University			English 	Yes	Yes	None								
153	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Unknown	Research University			English 	No	No	None								
